2026-05-01	IP	International Paper Company	63	Scott Tozier	Director	$313k	10k	$31.30	+
2026-04-30	BWMX	Betterware de Mexico, S.A.P.I. de C.V.	65	Andres Campos Chevallier	CHIEF EXECUTIVE OFFICER	$168k	10k	$16.81	+
2026-04-30	GEHC	GE HealthCare Technologies Inc.	69	Frank R Jimenez	GC & Corporate Secretary	$106k	2k	$60.45	+
2026-04-30	ANIK	Anika Therapeutics Inc.	56	Stephen D. Griffin	President and CEO	$150k	12k	$12.29	+
2026-04-30	GEHC	GE HealthCare Technologies Inc.	69	Peter J Arduini	President and CEO	$250k	4k	$59.92	+
2026-04-30	BDC	Belden Inc	69	ASSURED GUARANTY LTD / Assured Guaranty US Holdings Inc. / Assured Guaranty Municipal Holdings Inc. / Assured Guaranty Inc. / AG Asset Strategies LLC	10% Owner	$6.0M	243k	$24.72	+
2026-04-29	AVBC	Avidia Bancorp, Inc.	61	James N Ball	Director	$103k	5k	$20.60	+
2026-04-29	ZBIO	Zenas BioPharma, Inc.	61	Leon O Moulder JR	Chief Executive Officer	$617k	35k	$17.62	+
2026-04-29	ZBIO	Zenas BioPharma, Inc.	61	Leon O Moulder JR	Chief Executive Officer	$451k	25k	$18.02	+
2026-04-28	LW	Lamb Weston Holdings, Inc.	62	James D Gray	Chief Financial Officer	$200k	5k	$43.85	+
2026-04-28	WASH	Washington Trust Bancorp, Inc.	60	Edward O. Handy III	Chairman and CEO	$100k	3k	$31.32	+
2026-04-27	HYMC	Hycroft Mining Holding Corporation	57	Sprott Eric / 2176423 Ontario Ltd.	10% Owner	$3.8M	100k	$37.84	+
2026-04-27	WASH	Washington Trust Bancorp, Inc.	60	James Cannon Brown	SEVP, Chief Comm'l Banking Off	$375k	12k	$31.51	+
2026-04-27	WASH	Washington Trust Bancorp, Inc.	60	James Cannon Brown	SEVP, Chief Comm'l Banking Off	$622k	20k	$30.97	+
2026-04-24	NBBK	NB Bancorp, Inc.	63	Hope Pascucci	Director	$195k	10k	$19.49	+
2026-04-24	SMPL	The Simply Good Foods Company	64	James M Kilts	Director	$991k	80k	$12.39	+
2026-04-24	WSBC	WesBanco, Inc.	61	Lee J. Burdman	Director	$101k	3k	$33.60	+
2026-04-24	WSBC	WesBanco, Inc.	61	Louis Michael Altman	Director	$101k	3k	$33.72	+
2026-04-24	NBBK	NB Bancorp, Inc.	63	Hope Pascucci	Director	$194k	10k	$19.44	+
2026-04-23	PRLD	Prelude Therapeutics Incorporated	53	David P Bonita	Director, 10% Owner	$5.0M	1.1M	$4.44	+
2026-04-23	RZLV	Rezolve AI PLC	66	Wagner Daniel Maurice	Chief Executive Officer	$1.1M	273k	$4.00	+
2026-04-23	PRLD	Prelude Therapeutics Incorporated	53	ORBIMED ADVISORS LLC / OrbiMed Capital GP VI LLC / ORBIMED CAPITAL LLC / OrbiMed Genesis GP LLC	Director, 10% Owner	$5.0M	1.1M	$4.44	+
2026-04-23	PRLD	Prelude Therapeutics Incorporated	53	David P Bonita	Director, 10% Owner	$7.5M	1.7M	$4.44	+
2026-04-23	PRLD	Prelude Therapeutics Incorporated	53	ORBIMED ADVISORS LLC / OrbiMed Capital GP VI LLC / ORBIMED CAPITAL LLC / OrbiMed Genesis GP LLC	Director, 10% Owner	$7.5M	1.7M	$4.44	+
2026-04-23	BMI	Badger Meter, Inc.	67	Robert Wrocklage	EVP-N.A. Muncipal Utility	$122k	1k	$122.35	+
2026-04-23	RZLV	Rezolve AI PLC	66	Wagner Daniel Maurice	Chief Executive Officer	$2.2M	540k	$4.00	+
2026-04-22	HTO	H2O America	58	GIP ATLAS Holdings Ltd	10% Owner	$3.0M	50k	$59.06	+
2026-04-22	BMI	Badger Meter, Inc.	67	Richard Htwe	VP-Global Operations	$197k	2k	$116.13	+
2026-04-21	BMI	Badger Meter, Inc.	67	Kenneth Bockhorst	Chairman, President & CEO	$259k	2k	$117.53	+
2026-04-20	HOMB	Home BancShares, Inc.	60	John W Allison	Chairman & CEO	$2.7M	100k	$26.96	+
2026-04-20	OKTA	Okta, Inc.	49	David Schellhase	Director	$188k	3k	$71.86	+
2026-04-20	AIRS	AirSculpt Technologies, Inc.	43	Jorey Chernett	10% Owner	$102k	40k	$2.54	+
2026-04-20	THM	International Tower Hill Mines, Ltd.	56	PAULSON & CO. INC.	10% Owner	$12.6M	4.9M	$2.56	+
2026-04-17	IONQ	IonQ, Inc.	51	Robert T. Cardillo	Director	$112k	3k	$44.90	+
2026-04-17	BORR	Borr Drilling Limited	56	Troim Tor Olav	Director	$2.8M	500k	$5.58	+
2026-04-16	SBLK	Star Bulk Carriers Corp.	39	Charis Plakantonaki	Chief Strategy Officer	$405k	17k	$24.56	+
2026-04-15	LW	Lamb Weston Holdings, Inc.	62	JANA Partners Management, LP	Director	$2.2M	50k	$43.19	+
